date,region,cases
2020-03-11,01 - Bas-Saint-Laurent,0
2020-03-11,02 - Saguenay–Lac-Saint-Jean,0
2020-03-11,03 - Capitale Nationale,0
2020-03-11,04 - Mauricie - Centre du Québec,0
2020-03-11,05 - Estrie,0
2020-03-11,06 - Montréal,1
2020-03-11,07 - Outaouais,0
2020-03-11,08 - Abitibi-Temiscamingue,0
2020-03-11,09 - Côte-Nord,0
2020-03-11,10 - Nord-du-Québec,0
2020-03-11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-11,12 - Chaudière-Appalaches,0
2020-03-11,13 - Laval,0
2020-03-11,14 - Lanaudière,0
2020-03-11,15 - Laurentides,0
2020-03-11,16 - Montérégie,0
2020-03-11,17 - Nunavik,0
2020-03-11,18 - Terres-Cries-de-la-Baie-James,0
2020-03-12,01 - Bas-Saint-Laurent,0
2020-03-12,02 - Saguenay–Lac-Saint-Jean,0
2020-03-12,03 - Capitale Nationale,0
2020-03-12,04 - Mauricie - Centre du Québec,0
2020-03-12,05 - Estrie,1
2020-03-12,06 - Montréal,4
2020-03-12,07 - Outaouais,0
2020-03-12,08 - Abitibi-Temiscamingue,0
2020-03-12,09 - Côte-Nord,0
2020-03-12,10 - Nord-du-Québec,0
2020-03-12,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-12,12 - Chaudière-Appalaches,1
2020-03-12,13 - Laval,0
2020-03-12,14 - Lanaudière,0
2020-03-12,15 - Laurentides,1
2020-03-12,16 - Montérégie,2
2020-03-12,17 - Nunavik,0
2020-03-12,18 - Terres-Cries-de-la-Baie-James,0
2020-03-13,01 - Bas-Saint-Laurent,0
2020-03-13,02 - Saguenay–Lac-Saint-Jean,0
2020-03-13,03 - Capitale Nationale,0
2020-03-13,04 - Mauricie - Centre du Québec,0
2020-03-13,05 - Estrie,0
2020-03-13,06 - Montréal,0
2020-03-13,07 - Outaouais,0
2020-03-13,08 - Abitibi-Temiscamingue,0
2020-03-13,09 - Côte-Nord,0
2020-03-13,10 - Nord-du-Québec,0
2020-03-13,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-13,12 - Chaudière-Appalaches,0
2020-03-13,13 - Laval,0
2020-03-13,14 - Lanaudière,0
2020-03-13,15 - Laurentides,0
2020-03-13,16 - Montérégie,0
2020-03-13,17 - Nunavik,0
2020-03-13,18 - Terres-Cries-de-la-Baie-James,0
2020-03-14,01 - Bas-Saint-Laurent,0
