date,region,cases
2020-03-21,14 - Lanaudière,9
2020-03-21,15 - Laurentides,14
2020-03-21,16 - Montérégie,26
2020-03-21,17 - Nunavik,0
2020-03-21,18 - Terres-Cries-de-la-Baie-James,0
2020-03-22,01 - Bas-Saint-Laurent,1
2020-03-22,02 - Saguenay–Lac-Saint-Jean,1
2020-03-22,03 - Capitale Nationale,13
2020-03-22,04 - Mauricie - Centre du Québec,7
2020-03-22,05 - Estrie,30
2020-03-22,06 - Montréal,46
2020-03-22,07 - Outaouais,5
2020-03-22,08 - Abitibi-Temiscamingue,0
2020-03-22,09 - Côte-Nord,0
2020-03-22,10 - Nord-du-Québec,1
2020-03-22,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-22,12 - Chaudière-Appalaches,13
2020-03-22,13 - Laval,4
2020-03-22,14 - Lanaudière,15
2020-03-22,15 - Laurentides,17
2020-03-22,16 - Montérégie,40
2020-03-22,17 - Nunavik,0
2020-03-22,18 - Terres-Cries-de-la-Baie-James,0
2020-03-23,01 - Bas-Saint-Laurent,3
2020-03-23,02 - Saguenay–Lac-Saint-Jean,1
2020-03-23,03 - Capitale Nationale,33
2020-03-23,04 - Mauricie - Centre du Québec,16
2020-03-23,05 - Estrie,48
2020-03-23,06 - Montréal,265
2020-03-23,07 - Outaouais,8
2020-03-23,08 - Abitibi-Temiscamingue,3
2020-03-23,09 - Côte-Nord,0
2020-03-23,10 - Nord-du-Québec,1
2020-03-23,11 - Gaspésie-Îles-de-la-Madeleine,3
2020-03-23,12 - Chaudière-Appalaches,15
2020-03-23,13 - Laval,21
2020-03-23,14 - Lanaudière,50
2020-03-23,15 - Laurentides,30
2020-03-23,16 - Montérégie,66
2020-03-23,17 - Nunavik,0
2020-03-23,18 - Terres-Cries-de-la-Baie-James,0
2020-03-24,01 - Bas-Saint-Laurent,4
2020-03-24,02 - Saguenay–Lac-Saint-Jean,5
2020-03-24,03 - Capitale Nationale,79
2020-03-24,04 - Mauricie - Centre du Québec,32
2020-03-24,05 - Estrie,130
2020-03-24,06 - Montréal,439
2020-03-24,07 - Outaouais,12
2020-03-24,08 - Abitibi-Temiscamingue,5
2020-03-24,09 - Côte-Nord,1
2020-03-24,10 - Nord-du-Québec,1
2020-03-24,11 - Gaspésie-Îles-de-la-Madeleine,7
2020-03-24,12 - Chaudière-Appalaches,14
2020-03-24,13 - Laval,60
2020-03-24,14 - Lanaudière,55
2020-03-24,15 - Laurentides,44
2020-03-24,16 - Montérégie,125
2020-03-24,17 - Nunavik,0
2020-03-24,18 - Terres-Cries-de-la-Baie-James,0
2020-03-25,01 - Bas-Saint-Laurent,6
2020-03-25,02 - Saguenay–Lac-Saint-Jean,8
2020-03-25,03 - Capitale Nationale,95
2020-03-25,04 - Mauricie - Centre du Québec,35
2020-03-25,05 - Estrie,169
2020-03-25,06 - Montréal,603
2020-03-25,07 - Outaouais,13
